,Data,Intervalo,Vazao
160, 29-1-2023,00:00:00 a 06:00:00,919866745.0
161, 29-1-2023,06:00:00 a 12:00:00,612794335.75
162, 29-1-2023,12:00:00 a 18:00:00,920544640.0
163, 29-1-2023,18:00:00 a 23:59:59,918082064.6666666
164, 30-1-2023,00:00:00 a 06:00:00,613069038.611111
165, 30-1-2023,06:00:00 a 12:00:00,917583217.0
166, 30-1-2023,12:00:00 a 18:00:00,896166733.0
167, 30-1-2023,18:00:00 a 23:59:59,919236724.0
168, 31-1-2023,00:00:00 a 06:00:00,839336736.0
169, 31-1-2023,06:00:00 a 12:00:00,916194104.0
170, 31-1-2023,12:00:00 a 18:00:00,903574253.3333334
171, 31-1-2023,18:00:00 a 23:59:59,920441045.0
172, 1-2-2023,00:00:00 a 06:00:00,918239013.0
173, 1-2-2023,06:00:00 a 12:00:00,917714793.0
174, 1-2-2023,12:00:00 a 18:00:00,917559410.0
175, 1-2-2023,18:00:00 a 23:59:59,916851299.0
176, 2-2-2023,00:00:00 a 06:00:00,920231309.0
177, 2-2-2023,06:00:00 a 12:00:00,911791742.0
178, 2-2-2023,12:00:00 a 18:00:00,904712956.0
179, 2-2-2023,18:00:00 a 23:59:59,891028256.0
180, 3-2-2023,00:00:00 a 06:00:00,913207094.0
181, 3-2-2023,06:00:00 a 12:00:00,910058928.0
182, 3-2-2023,12:00:00 a 18:00:00,916615047.0
183, 3-2-2023,18:00:00 a 23:59:59,755937046.6666666
184, 4-2-2023,00:00:00 a 06:00:00,605151553.8333334
185, 4-2-2023,06:00:00 a 12:00:00,456646844.3333333
186, 4-2-2023,12:00:00 a 18:00:00,921648455.0
187, 4-2-2023,18:00:00 a 23:59:59,306377249.6666667
188, 5-2-2023,00:00:00 a 06:00:00,916406110.0
189, 5-2-2023,06:00:00 a 12:00:00,306342426.8333333
190, 5-2-2023,12:00:00 a 18:00:00,306342426.8333333
191, 5-2-2023,18:00:00 a 23:59:59,306342426.8333333
192, 6-2-2023,00:00:00 a 06:00:00,152734350.83333334
193, 6-2-2023,06:00:00 a 12:00:00,921333513.0
194, 6-2-2023,12:00:00 a 18:00:00,909168275.0
195, 6-2-2023,18:00:00 a 23:59:59,305083630.6666667
196, 7-2-2023,00:00:00 a 06:00:00,305083630.6666667
197, 7-2-2023,06:00:00 a 12:00:00,305083630.6666667
198, 7-2-2023,12:00:00 a 18:00:00,917088558.0
